,province,pop,min,max,growth
0,Ontario,14223942,0.6216087164127274,0.9626324257050055,1.4673567842101
1,Quebec,8501833,0.5279428537127078,0.9411645569620253,1.746252487540225
2,British Columbia,5000879,0.5790238233585125,0.9530614012297566,1.564182241130723
3,Alberta,4700000,0.5921284857042005,0.8644885689423305,1.4245367366658106
4,Manitoba,1342153,0.5991857883049594,0.9018171160609613,1.3876479137078703
5,Saskatchewan,1132505,0.5087446560435289,0.8957703927492446,1.5403306579886344
6,Nova Scotia,969383,0.5582854155776267,1.0311934900542497,1.7440619605310548
7,New Brunswick,775610,0.5390260173448965,1.0051078320090807,1.654013662751026
8,Newfoundland and Labrador,510550,0.44633273703041143,1.043438077634011,2.1020768650683115
9,Prince Edward Island,154331,0.572463768115942,1.047486033519553,1.5171317131713173
